DATA;FORNECEDOR;DESTINO;ESTADO/MUNICIPIO;TIPO;QUANTIDADE;VALOR;DESTINATARIO;UF
19/04/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;40;2400000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
22/04/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;20;1200000;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
08/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;25;1500000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
08/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;15;900000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
09/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;6;360000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
09/05/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;1;60000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
09/05/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;30;1800000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
09/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;8;480000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
09/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;4;193160;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
09/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;1;60000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
16/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900;FIOCRUZ ;RJ
16/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900;HOSPITAL GERAL DO BOM SUCESSO;RJ
16/05/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;11;531190;SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO;RJ
16/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;10;600000;FIOCRUZ ;RJ
17/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;10;600000;HOSPITAL GERAL DO BOM SUCESSO;RJ
17/05/2020;LEISTUNG;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000;SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO;RJ
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;26;520000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;24;480000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
24/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;51;2462790;FIOCRUZ ;RJ
24/05/2020;LEISTUNG/VYAIRE;RIO DE JANEIRO;ESTADO;UTI;20;1200000;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;10;600000;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
24/05/2020;KTK/VAYIRE;RIO DE JANEIRO;ESTADO;UTI;5;300000;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
29/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
29/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;90;4346100;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
29/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;30;1800000;FIOCRUZ ;RJ
31/05/2020;WEG;RIO DE JANEIRO;ESTADO;UTI;15;900000;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
31/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;50;3000000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
31/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;50;3000000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
08/06/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
08/06/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580;Secretaria Municipal de Saúde (BELFORD ROXO);RJ
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000;Secretaria Municipal de Saúde (BELFORD ROXO);RJ
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580;Secretaria Municipal de Saúde (DUQUE DE CAXIAS);RJ
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000;Secretaria Municipal de Saúde (DUQUE DE CAXIAS);RJ
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580;Secretaria Municipal de Saúde (ITAGUAÍ);RJ
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000;Secretaria Municipal de Saúde (ITAGUAÍ);RJ
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;3;144870;Secretaria Municipal de Saúde (MAJÉ);RJ
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000;Secretaria Municipal de Saúde (MAJÉ);RJ
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450;Secretaria Municipal de Saúde (NITÉROI);RJ
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000;Secretaria Municipal de Saúde (NITÉROI);RJ
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450;Secretaria Municipal de Saúde (NOVA FRIBURGO);RJ
