Year;Nominal GDP(billions USD);GDP per capita(USD);GDP growth(real);Inflation rate(in %);Unemployment(in %);Budget balance(in % of GDP)[107];Government debt held by public(in % of GDP)[108];Current accountbalance(in % of GDP)
2020 (est);20934.0;57589;−3.5 %;0.62 %;11.1 %;−n/a %;79.9 %;−n/a %
2019;21439.0;64674;2.2 %;1.8 %;3.5 %;−4.6 %;78.9 %;−2.5 %
2018;20611.2;62869;3.0 %;2.4 %;3.9 %;−3.8 %;77.8 %;−2.4 %
2017;19519.4;60000;2.3%;2.1 %;4.4 %;−3.4 %;76.1%;−2.3 %
2016;18715.0;57878;1.7 %;1.3 %;4.9 %;−3.1 %;76.4%;−2.3 %
2015;18224.8;56770;3.1 %;0.1 %;5.3 %;−2.4 %;72.5%;−2.2 %
2014;17521.3;54993;2.5 %;1.6 %;6.2 %;−2.8 %;73.7%;−2.1 %
2013;16784.9;52737;1.8 %;1.5 %;7.4 %;−4.0 %;72.2%;−2.1 %
2012;16155.3;51404;2.2 %;2.1 %;8.1 %;−5.7 %;70.3%;−2.6 %
2011;15517.9;49736;1.6 %;3.1 %;8.9 %;−7.3 %;65.8%;−2.9 %
2010;14964.4;48311;2.6 %;1.6 %;9.6 %;−8.6 %;60.8%;−2.9 %
2009;14418.7;46909;−2.5 %;−0.3 %;9.3 %;−9.8 %;52.3%;−2.6 %
2008;14718.6;48302;−0.2 %;3.8 %;5.8 %;−4.6 %;39.4%;−4.6 %
2007;14477.6;47955;1.9 %;2.9 %;4.6 %;−0.8 %;35.2%;−4.9 %
2006;13855.9;46352;2.9 %;3.2 %;4.6 %;−0.1 %;35.4%;−5.8 %
2005;13093.7;44218;3.3 %;3.4 %;5.1 %;−1.2 %;35.8%;−5.7 %
2004;12274.9;41838;3.8 %;2.7 %;5.5 %;−2.3 %;35.7%;−5.1 %
2003;11510.7;39592;2.8 %;2.3 %;6.0 %;−2.8 %;34.7%;−4.1 %
2002;10977.5;38114;1.8 %;1.6 %;5.8 %;−1.7 %;32.7%;−4.1 %
2001;10621.9;37241;1.0 %;2.8 %;4.7 %;1.2 %;31.5%;−3.7 %
2000;10284.8;36433;4.1 %;3.4 %;4.0 %;2.3 %;33.7%;−3.9 %
1999;9660.6;34602;4.8 %;2.2 %;4.2 %;1.3 %;38.3%;−3.0 %
1998;9089.2;32929;4.5 %;1.5 %;4.5 %;0.8 %;41.7%;−2.4 %
1997;8608.5;31554;4.4 %;2.3 %;4.9 %;−0.2 %;44.6%;−1.6 %
1996;8100.1;30047;3.7 %;2.9 %;5.4 %;−1.3 %;47.0%;−1.5 %
1995;7664.1;28763;2.7 %;2.8 %;5.6 %;−2.1 %;47.7%;−1.5 %
1994;7308.8;27756;4.0 %;2.6 %;6.1 %;−2.8 %;47.8%;−1.7 %
1993;6878.7;26442;2.7 %;3.0 %;6.9 %;−3.7 %;47.9%;−1.2 %
1992;6539.3;25467;3.6 %;3.0 %;7.5 %;−4.5 %;46.8%;−0.8 %
1991;6174.1;24366;−0.1 %;4.2 %;6.9 %;−4.4 %;44.1%;0.0 %
1990;5979.6;23914;1.9 %;5.4 %;5.6 %;−3.7 %;40.9%;−1.3 %
1989;5657.7;22879;3.7 %;4.8 %;5.3 %;−2.7 %;39.4%;−1.8 %
1988;5252.6;21442;4.2 %;4.1 %;5.5 %;−3.0 %;39.9%;−2.3 %
1987;4870.2;20063;3.5 %;3.6 %;6.2 %;−3.1 %;39.6%;−3.3 %
1986;4590.1;19078;3.5 %;1.9 %;7.0 %;−4.8 %;38.5%;−3.2 %
1985;4346.8;18232;4.2 %;3.5 %;7.2 %;−4.9 %;35.3%;−2.7 %
1984;4040.7;17099;7.2 %;4.4 %;7.5 %;−4.6 %;33.1%;−2.3 %
1983;3638.1;15531;4.6 %;3.2 %;9.6 %;−5.7 %;32.2%;−1.1 %
1982;3345.0;14410;−1.8 %;6.2 %;9.7 %;−3.8 %;27.9%;−0.2 %
1981;3211.0;13966;2.6 %;10.4 %;7.6 %;−2.5 %;25.2%;0.2 %
1980;2862.5;12575;−0.2 %;13.5 %;7.2 %;−2.6 %;25.5%;0.1 %
