DATA;FORNECEDOR;DESTINO;ESTADO/MUNICIPIO;TIPO;QUANTIDADE;VALOR;DESTINATARIO;UF
2020-04-19;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;40;2400000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-04-22;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;20;1200000.0;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
2020-08-05;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;25;1500000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-08-05;KTK;RIO DE JANEIRO;ESTADO;UTI;15;900000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-09-05;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;6;360000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-09-05;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;1;60000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-09-05;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;30;1800000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-09-05;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;8;480000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-09-05;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;4;193160.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-09-05;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;1;60000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-16;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900.0;FIOCRUZ ;RJ
2020-05-16;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900.0;HOSPITAL GERAL DO BOM SUCESSO;RJ
2020-05-16;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;11;531190.0;SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO;RJ
2020-05-16;KTK;RIO DE JANEIRO;ESTADO;UTI;10;600000.0;FIOCRUZ ;RJ
2020-05-17;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;10;600000.0;HOSPITAL GERAL DO BOM SUCESSO;RJ
2020-05-17;LEISTUNG;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000.0;SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO;RJ
2020-05-24;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-24;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;26;520000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-24;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;24;480000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-24;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;51;2462790.0;FIOCRUZ ;RJ
2020-05-24;LEISTUNG/VYAIRE;RIO DE JANEIRO;ESTADO;UTI;20;1200000.0;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
2020-05-24;KTK;RIO DE JANEIRO;ESTADO;UTI;10;600000.0;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
2020-05-24;KTK/VAYIRE;RIO DE JANEIRO;ESTADO;UTI;5;300000.0;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
2020-05-29;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-29;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;90;4346100.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-29;KTK;RIO DE JANEIRO;ESTADO;UTI;30;1800000.0;FIOCRUZ ;RJ
2020-05-31;WEG;RIO DE JANEIRO;ESTADO;UTI;15;900000.0;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ
2020-05-31;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;50;3000000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-05-31;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;50;3000000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-08-06;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-08-06;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000.0;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580.0;Secretaria Municipal de Saúde (BELFORD ROXO);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000.0;Secretaria Municipal de Saúde (BELFORD ROXO);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580.0;Secretaria Municipal de Saúde (DUQUE DE CAXIAS);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000.0;Secretaria Municipal de Saúde (DUQUE DE CAXIAS);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580.0;Secretaria Municipal de Saúde (ITAGUAÍ);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000.0;Secretaria Municipal de Saúde (ITAGUAÍ);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;3;144870.0;Secretaria Municipal de Saúde (MAJÉ);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000.0;Secretaria Municipal de Saúde (MAJÉ);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450.0;Secretaria Municipal de Saúde (NITÉROI);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000.0;Secretaria Municipal de Saúde (NITÉROI);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450.0;Secretaria Municipal de Saúde (NOVA FRIBURGO);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000.0;Secretaria Municipal de Saúde (NOVA FRIBURGO);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580.0;Secretaria Municipal de Saúde (NOVA IGUAÇU);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000.0;Secretaria Municipal de Saúde (NOVA IGUAÇU);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;1;48290.0;Secretaria Municipal de Saúde (PARACAMBI);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000.0;Secretaria Municipal de Saúde (PARACAMBI);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;1;48290.0;Secretaria Municipal de Saúde (QUEIMADOS);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000.0;Secretaria Municipal de Saúde (QUEIMADOS);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;4;193160.0;Secretaria Municipal de Saúde (RIO BONITO);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;4;240000.0;Secretaria Municipal de Saúde (RIO BONITO);RJ
2020-06-26;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;8;386320.0;Secretaria Municipal de Saúde (SÃO JOÃO DO MERETI);RJ
2020-06-26;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;7;420000.0;Secretaria Municipal de Saúde (SÃO JOÃO DO MERETI);RJ
